Ranking,Grade,Name,Uploads,Subscribers
1st,A+,ARY Digital HD,86931,38.3M
2nd,A+,HAR PAL GEO,78968,36.4M
3rd,A,HUM TV,83989,24.7M
4th,A-,TRT Originals Urdu,871,19.1M
5th,A-,Coke Studio,560,13.8M
6th,A-,Geo News,171395,12.7M
7th,A-,ARY News,66469,11.4M
8th,A,Salman Noman,538, 12M
9th,B+,Heera Gold,2178,10.4M
10th,B+,AJ Official,818,9.73M
11th,B+,SAMAA TV,111279,8.53M
12th,B+,Islamic Teacher Official,1239,8.43M
13th,B+,UrduPoint.com,15619,7.74M
14th,B+,Tariq Jamil,1185,6.87M
15th,A,BROTHERS VLOG,794,6.38M
16th,A,Chota Ali vlogs,1374,6.28M
17th,B,Mehrban Ali,1372,6.19M
18th,B+,Hukam Ali,127,6.17M
19th,B-,Dramas Central,18034, 6.07M
20th,B+,Dunya News,99554,5.91M
21st,B+,Pyaar Lafzon Mein Kahan,1690,5.91M
22nd,A-,BOL News,84086,5.8M
23rd,B+,Kch Multimedia Naat,5105,5.65M
24th,B+,Talk Shows Central,26907,5.61M
25th,B+,Random Hands,94,5.6M
26th,B+,ISPR Official,1132,5.42M
27th,B+,BOL Network,44711,5.22M
28th,B-,A Plus Entertainment,10893,5.03M
29th,B+,Studio5,1667,4.95M
30th,B,Top Pakistani Dramas,5568,4.57M
31st,B+,92 News HD,71116,4.57M
32nd,A-,Peep Peep,177,4.56M
33rd,B+,Pakistan Cricket,8675,4.43M
34th,B+,Hafiz Tahir Qadri,693,4.39M
35th,A-,abdul_mj,804,4.35M
36th,B,Kitchen with Amna,1239,4.34M
37th,B+,Haqeeqat TV,6755,4.33M
38th,B+,Ducky Bhai,305,4.26M
39th,A-,High Tech USA,199,4.18M
40th,B+,Food Fusion,2773,4.17M
41st,B,The Urdu Teacher,1399,4.13M
42nd,B,Pakistan Super League,3290,4.09M
43rd,B,BaoRami Edits,326,4.05M
44th,B,Islam Advisor,1680,4.03M
45th,B-,Best Pakistani Dramas,14212,3.85M
46th,B+,Village Food Secrets,1245,3.82M
47th,B,Memoona Muslima,759,3.77M
48th,B,Celebrity News,1141,3.75M
49th,B+,Imran Riaz Khan,1875,3.72M
50th,B+,BaBa Food RRC,1638,3.71M
51st,B,Dilkash Beauty,925,3.65M
52nd,B,Rohail Voice,747,3.59M
53rd,B,Voice Daily,733,3.57M
54th,B,Qasim Ali Shah,2283,3.56M
55th,B-,Unisys Music,586,3.51M
56th,B+,Zem TV,236,3.46M
57th,B+,m_ahmed_b,542,3.37M
58th,B,Express News,48483,3.24M
59th,B+,Shaheen Studio,2339,3.24M
60th,B,Daily Pakistan Global,3110,3.24M
61st,B,Allah Ki Qudrat,608,3.21M
62nd,B+,Sahir Ali Bagga,131,3.2M
63rd,B,Madani Channel,52167,3.02M
64th,B,Urdu Mag,1252,2.98M
65th,B,Bao Rami Status,674,2.98M
66th,B,Malumat Tube Official,963,2.97M
67th,B+,Maaz Safder World,639,2.91M
68th,B,Dumb TV,280,2.9M
69th,B+,Dr. Israr Ahmad Official,3901,2.89M
70th,B+,Naya Pakistan,6343,2.89M
71st,B+,Atif Aslam,89,2.87M
72nd,B-,HUM SAB,683,2.87M
73rd,A,IQ Dramas,11685,2.71M
74th,B,MessageTV,7555,2.68M
75th,B-,Spread The Islam,354,2.65M
76th,B,Urdu Cover,1071,2.62M
77th,A-,malik abubaker,665,2.59M
78th,B,Desi Health TV,624,2.56M
79th,B,Ask Muslim Teacher,1407,2.54M
80th,A-,LRK Fact,93,2.48M
81st,B,Star ANONYMOUS,841,2.46M
82nd,B,Healthsubzwari,766,2.45M
83rd,B+,SM Sadiq Studio,2141,2.44M
84th,B,Reality Tv,795,2.42M
85th,B+,That Was Crazy,207,2.41M
86th,B,Qari Muhammad Ilyas,1064,2.41M
87th,B,Urdu Lab,4824,2.4M
88th,B,Daily URDU Update,807,2.4M
89th,B+,Aisha Health With Beauty,2247,2.38M
90th,A-,S Plus,145,2.36M
91st,B,Sar e Aam,2825,2.36M
92nd,B,Merium Pervaiz,233,2.35M
93rd,B,Irfan Malik,14,2.34M
94th,B-,Islamic Solution,949,2.34M
95th,B-,Quran Aur Hadees,222,2.3M
96th,B,KHOJI TV,2036,2.29M
97th,B+,Fairy Tales Urdu,134,2.29M
98th,B,Asad Ali TV,535,2.29M
99th,B,Crazy Prank TV,224,2.28M
100th,B-,Asif Ali TV,1192,2.28M
